timestamp,event_id,level,source,computer,user,opcode,task_category,process_id,process_name,detail,cpu_usage,mem_usage,network_io,integrity_level,is_signed,label
2026-04-01 22:49:11,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,3455,lsass.exe,System Check,2.7350243754741417,130,0.1,Medium,1,normal
2026-04-01 22:49:12,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,6613,services.exe,System Check,3.6893011567823675,118,0.1,Medium,1,normal
2026-04-01 22:49:13,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,221,powershell.exe,System Check,2.246830450501765,155,0.1,Medium,1,normal
2026-04-01 22:49:14,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,8493,services.exe,System Check,1.3596613974793486,55,0.1,Medium,1,normal
2026-04-01 22:49:15,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,3296,svchost.exe,System Check,2.637936661011704,97,0.1,Medium,1,normal
2026-04-01 22:49:16,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,9838,services.exe,System Check,2.8860028444955654,92,0.1,Medium,1,normal
2026-04-01 22:49:17,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,8241,lsass.exe,System Check,3.958399429565424,51,0.1,Medium,1,normal
2026-04-01 22:49:18,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,862,svchost.exe,System Check,2.995522176237986,136,0.1,Medium,1,normal
2026-04-01 22:49:19,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,1382,explorer.exe,System Check,1.4773969403469343,195,0.1,Medium,1,normal
2026-04-01 22:49:20,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\User1,Logon,Logon,2358,powershell.exe,System Check,1.7169792027124853,146,0.1,Medium,1,normal
2026-04-01 22:49:21,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,3527,lsass.exe,System Check,3.495547469790927,79,0.1,Medium,1,normal
2026-04-01 22:49:22,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,4986,lsass.exe,System Check,0.6651067671863565,104,0.1,Medium,1,normal
2026-04-01 22:49:23,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\User1,Logon,Logon,9873,services.exe,System Check,1.2651333582998974,53,0.1,Medium,1,normal
2026-04-01 22:49:24,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,591,services.exe,System Check,3.206064293006384,113,0.1,Medium,1,normal
2026-04-01 22:49:25,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,6359,svchost.exe,System Check,2.901998255620057,107,0.1,Medium,1,normal
2026-04-01 22:49:26,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,370,explorer.exe,System Check,0.7223691334976918,191,0.1,Medium,1,normal
2026-04-01 22:49:27,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,4046,services.exe,System Check,0.4006952156333071,125,0.1,Medium,1,normal
2026-04-01 22:49:28,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,187,svchost.exe,System Check,0.8809125144339891,66,0.1,Medium,1,normal
2026-04-01 22:49:29,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,8072,services.exe,System Check,2.6429174163857105,121,0.1,Medium,1,normal
2026-04-01 22:49:30,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,8148,powershell.exe,System Check,1.308310344039461,145,0.1,Medium,1,normal
2026-04-01 22:49:31,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,3098,services.exe,System Check,3.3531272225812256,194,0.1,Medium,1,normal
