timestamp,event_id,level,source,computer,user,opcode,task_category,process_id,process_name,detail,cpu_usage,mem_usage,network_io,integrity_level,is_signed,label
2026-03-29 22:49:11,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,9298,powershell.exe,System Check,0.7217327258571979,134,0.1,Medium,1,normal
2026-03-29 22:49:12,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,3118,svchost.exe,System Check,2.40043124161214,49,0.1,Medium,1,normal
2026-03-29 22:49:13,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,3356,powershell.exe,System Check,0.8540467795890839,95,0.1,Medium,1,normal
2026-03-29 22:49:14,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,8910,services.exe,System Check,0.12395858005804195,104,0.1,Medium,1,normal
2026-03-29 22:49:15,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\User1,Logon,Logon,5954,powershell.exe,System Check,2.2719519325942867,128,0.1,Medium,1,normal
2026-03-29 22:49:16,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,6863,lsass.exe,System Check,2.7612819698475257,170,0.1,Medium,1,normal
2026-03-29 22:49:17,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,3678,svchost.exe,System Check,1.7412267168752202,176,0.1,Medium,1,normal
2026-03-29 22:49:18,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,9052,services.exe,System Check,2.2573232088648374,158,0.1,Medium,1,normal
2026-03-29 22:49:19,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,3062,explorer.exe,System Check,3.8165789489202133,114,0.1,Medium,1,normal
2026-03-29 22:49:20,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,5140,powershell.exe,System Check,1.4256647121928931,68,0.1,Medium,1,normal
2026-03-29 22:49:21,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,6400,svchost.exe,System Check,3.241251383127082,67,0.1,Medium,1,normal
2026-03-29 22:49:22,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\User1,Logon,Logon,2603,explorer.exe,System Check,3.103959611642859,102,0.1,Medium,1,normal
2026-03-29 22:49:23,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,2716,svchost.exe,System Check,1.1414470175729903,94,0.1,Medium,1,normal
2026-03-29 22:49:24,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,5639,powershell.exe,System Check,1.098345922138548,185,0.1,Medium,1,normal
2026-03-29 22:49:25,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Dev-01,Logon,Logon,6908,lsass.exe,System Check,2.225743396203148,155,0.1,Medium,1,normal
2026-03-29 22:49:26,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Dev-01,Logon,Logon,5419,services.exe,System Check,2.279860042499546,177,0.1,Medium,1,normal
2026-03-29 22:49:27,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,5371,lsass.exe,System Check,3.3253006166374623,58,0.1,Medium,1,normal
2026-03-29 22:49:28,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,706,services.exe,System Check,1.5421987812977842,118,0.1,Medium,1,normal
2026-03-29 22:49:29,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,9137,services.exe,System Check,2.8848697349891395,163,0.1,Medium,1,normal
2026-03-29 22:49:30,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Admin,Logon,Logon,1394,explorer.exe,System Check,1.1690383662621977,178,0.1,Medium,1,normal
2026-03-29 22:49:31,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\Admin,Logon,Logon,6446,explorer.exe,System Check,2.2133636271531847,86,0.1,Medium,1,normal
2026-03-29 22:49:32,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\Admin,Logon,Logon,707,services.exe,System Check,0.9246848993798942,168,0.1,Medium,1,normal
2026-03-29 22:49:33,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,7375,powershell.exe,System Check,0.7945918846303515,96,0.1,Medium,1,normal
2026-03-29 22:49:34,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,303,explorer.exe,System Check,2.546651616103251,146,0.1,Medium,1,normal
2026-03-29 22:49:35,4624,Information,Security,WIN-SOC-PROD-01,WIN-SOC\User1,Logon,Logon,4370,services.exe,System Check,3.3893497595904205,99,0.1,Medium,1,normal
2026-03-29 22:49:36,4624,Information,Security,WIN-SOC-PROD-02,WIN-SOC\User1,Logon,Logon,3786,svchost.exe,System Check,1.7872815645503215,48,0.1,Medium,1,normal
2026-03-29 22:49:37,4624,Information,Security,WIN-SOC-PROD-01,NT AUTHORITY\SYSTEM,Logon,Logon,443,powershell.exe,System Check,2.1000142094666314,192,0.1,Medium,1,normal
2026-03-29 22:49:38,4624,Information,Security,WIN-SOC-PROD-02,NT AUTHORITY\SYSTEM,Logon,Logon,8810,svchost.exe,System Check,2.01072376704906,150,0.1,Medium,1,normal
